typeProperty,typeOfForm,rooms,size_x100,bisize_x100,balkong,tomtarea_x10000,buildArea,uteplats,floor,type,distance_from_city_center,price_evolution_numbers_per_million,asking_price_per_million,cost_per_year_x1000,price_per_m2_x10000,elevator
1,1,2.0,0.3,0.0,1,0.04,1.965,0,0.0,1,2.801583630825069,0.015,0.595,0.0,1.9833333333333327,0.0
1,5,2.0,0.32,0.0,1,0.267,1.968,0,0.0,1,1.094778948837072,0.15,0.9,6.628,2.8125,0.0
4,2,2.0,0.59,0.0,1,0.0,2.018,0,0.875,3,8.941219183096116,0.305,3.295,0.0,5.584745762711864,1.0
7,5,4.0,1.25,0.0,1,0.0183,1.969,1,0.0,0,16.41007463007622,-0.365,4.69,64.741,3.752,0.0
8,5,6.0,1.65,0.39,1,0.092,1.939,0,0.0,2,42.67669762734998,-0.25,7.95,34.743,3.897058823529412,0.0
4,2,3.0,0.81,0.0,1,0.0,1.993,0,0.1111111111111111,3,19.81215826200271,-0.195,1.995,4.2,2.4629629629629632,1.0
8,5,4.0,0.68,0.68,1,0.1042,1.937,0,0.0,2,28.46692736121598,-0.095,4.195,10.766,3.084558823529412,0.0
8,5,8.0,1.29,0.66,1,0.0596,1.932,0,0.0,2,62.393452195848845,0.75,11.6,32.17,5.948717948717949,0.0
8,5,4.0,0.68,0.56,1,0.2092,1.953,0,0.0,2,69.58275258982258,0.26,3.795,53.334,3.060483870967742,0.0
8,5,2.0,0.46,0.11,1,0.166,1.955,0,0.0,2,21.62636603924097,0.225,2.995,37.563,5.254385964912281,0.0
6,2,5.0,1.25,0.0,1,0.0,0.0,1,0.0,0,13.868505939240716,-0.845,5.195,20.578,4.156,0.0
4,2,3.0,0.69,0.0,1,0.0,1.969,0,0.0,3,11.40244788639958,0.035,3.975,0.0,5.760869565217392,0.0
9,5,0.0,0.56,0.12,1,0.9938,1.981,0,0.0,1,26.935758802435075,-0.075,2.7,12.623,3.970588235294117,0.0
1,5,4.0,0.57,0.2,1,0.3694,1.967,0,0.0,1,5.761074267948643,0.165,2.795,26.5,3.62987012987013,0.0
