price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price
N/A,4 195 000 kr,-95 000 kr (-2 %),Radhus,Äganderätt,4 rum,133 m²,N/A,N/A,243 m²,1975,58 000 kr/år,N/A,N/A,"Radhus - Svartbäcken, Haninge kommun - Såld 04 december 2023",Stockholm,4 100 000 kr
90 000 kr/m²,14 100 000 kr,-600 000 kr (-4 %),Radhus,Bostadsrätt,7 rum,150 m²,57 m²,N/A,N/A,1920,66 936 kr/år,Ja,N/A,"Radhus - Bromma - Äppelviken, Stockholms kommun - Såld 03 december 2023",Stockholm,13 500 000 kr
43 195 kr/m²,3 795 000 kr,-145 000 kr (-4 %),Radhus,Bostadsrätt,5 rum,"84,5 m²",N/A,Ja,N/A,1980,3 600 kr/år,Ja,N/A,"Radhus - Östra Orminge, Nacka kommun - Såld 03 december 2023",Stockholm,3 650 000 kr
N/A,5 350 000 kr,-250 000 kr (-5 %),Parhus,Äganderätt,5 rum,126 m²,N/A,N/A,186 m²,1972,54 156 kr/år,N/A,N/A,"Parhus - Erikslund, Täby kommun - Såld 03 december 2023",Stockholm,5 100 000 kr
54 097 kr/m²,4 095 000 kr,-200 000 kr (-5 %),Parhus,Bostadsrätt,3 rum,72 m²,N/A,N/A,N/A,2020,14 400 kr/år,N/A,N/A,"Parhus - Högmora, Huddinge kommun - Såld 03 december 2023",Stockholm,3 895 000 kr
N/A,3 795 000 kr,-35 000 kr (-1 %),Radhus,Äganderätt,4 rum,110 m²,6 m²,N/A,208 m²,1957,55 941 kr/år,N/A,N/A,"Radhus - Hässelby Gård, Stockholms kommun - Såld 02 december 2023",Stockholm,3 760 000 kr
N/A,4 350 000 kr,-250 000 kr (-6 %),Radhus,Äganderätt,6 rum,157 m²,N/A,N/A,231 m²,1979,40 347 kr/år,Ja,N/A,"Radhus - Viksjö, Järfälla kommun - Såld 01 december 2023",Stockholm,4 100 000 kr
N/A,4 895 000 kr,-300 000 kr (-6 %),Parhus,Äganderätt,5 rum,127 m²,N/A,N/A,186 m²,1973,49 576 kr/år,N/A,N/A,"Parhus - Erikslund, Täby kommun - Såld 01 december 2023",Stockholm,4 595 000 kr
N/A,5 350 000 kr,-50 000 kr (-1 %),Radhus,Äganderätt,5 rum,133 m²,40 m²,Ja,192 m²,1973,59 634 kr/år,Ja,N/A,"Radhus - Fullersta, Huddinge kommun - Såld 01 december 2023",Stockholm,5 300 000 kr
29 750 kr/m²,1 895 000 kr,-110 000 kr (-6 %),Radhus,Bostadsrätt,2 rum,60 m²,N/A,N/A,N/A,N/A,24 584 kr/år,N/A,N/A,"Radhus - Centralt, Nykvarns kommun - Såld 01 december 2023",Stockholm,1 785 000 kr
64 356 kr/m²,6 950 000 kr,-450 000 kr (-6 %),Radhus,Bostadsrätt,5 rum,101 m²,N/A,N/A,N/A,1953,N/A,Ja,N/A,"Radhus - Bromma - Blackeberg, Stockholms kommun - Såld 01 december 2023",Stockholm,6 500 000 kr
N/A,4 690 000 kr,-190 000 kr (-4 %),Radhus,Äganderätt,5 rum,139 m²,N/A,N/A,321 m²,1970,57 473 kr/år,N/A,N/A,"Radhus - Solhem, Stockholms kommun - Såld 01 december 2023",Stockholm,4 500 000 kr
51 418 kr/m²,7 950 000 kr,-700 000 kr (-9 %),Par-/kedje-/radhus,Bostadsrätt,5 rum,141 m²,N/A,N/A,N/A,2016,27 400 kr/år,Ja,N/A,"Par-/kedje-/radhus - Ormkärr, Stockholms kommun - Såld 01 december 2023",Stockholm,7 250 000 kr
