price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price
N/A,10 750 000 kr,-1 800 000 kr (-17 %),Villa,Äganderätt,6 rum,143 m²,44 m²,N/A,800 m²,1982,52 400 kr/år,N/A,N/A,"Villa - Ella Park, Täby kommun - Såld 07 december 2023",Stockholm,8 950 000 kr
N/A,5 495 000 kr,-500 000 kr (-9 %),Villa,Äganderätt,6 rum,145 m²,16 m²,N/A,841 m²,1988,44 400 kr/år,N/A,N/A,"Villa - Tungelsta, Haninge kommun - Såld 07 december 2023",Stockholm,4 995 000 kr
N/A,5 995 000 kr,-195 000 kr (-3 %),Villa,Äganderätt,5 rum,129 m²,N/A,N/A,432 m²,1975,71 827 kr/år,N/A,N/A,"Villa - Fresta, Upplands Väsby kommun - Såld 07 december 2023",Stockholm,5 800 000 kr
N/A,7 500 000 kr,-600 000 kr (-8 %),Villa,Äganderätt,3 rum,110 m²,35 m²,N/A,2 430 m²,1991,44 800 kr/år,N/A,N/A,"Villa - Hästängsudd, Österåkers kommun - Såld 07 december 2023",Stockholm,6 900 000 kr
N/A,5 500 000 kr,-300 000 kr (-5 %),Vinterbonat fritidshus,Äganderätt,3 rum,60 m²,12 m²,N/A,1 765 m²,1992,17 675 kr/år,N/A,N/A,"Vinterbonat fritidshus - Koludden, Norrtälje kommun - Såld 07 december 2023",Stockholm,5 200 000 kr
N/A,17 900 000 kr,-575 000 kr (-3 %),Villa,Äganderätt,6 rum,186 m²,37 m²,N/A,1 261 m²,1917,89 300 kr/år,N/A,N/A,"Villa - Saltsjöbaden, Nacka kommun - Såld 07 december 2023",Stockholm,17 325 000 kr
N/A,4 295 000 kr,-395 000 kr (-9 %),Villa,Äganderätt,6 rum,194 m²,26 m²,N/A,836 m²,1972,44 450 kr/år,N/A,N/A,"Villa - Ösmo, Nynäshamns kommun - Såld 07 december 2023",Stockholm,3 900 000 kr
N/A,2 795 000 kr,-500 000 kr (-18 %),Villa,Äganderätt,5 rum,117 m²,9 m²,N/A,1 120 m²,1940,16 918 kr/år,Ja,N/A,"Villa - Gullunge, Norrtälje kommun - Såld 06 december 2023",Stockholm,2 295 000 kr
N/A,6 295 000 kr,-670 000 kr (-11 %),Villa,Äganderätt,5 rum,112 m²,75 m²,N/A,935 m²,1962,38 730 kr/år,N/A,N/A,"Villa - Skälby, Järfälla kommun - Såld 06 december 2023",Stockholm,5 625 000 kr
N/A,5 495 000 kr,-45 000 kr (-1 %),Villa,Bostadsrätt,4 rum,117 m²,15 m²,Ja,N/A,2020,26 940 kr/år,Ja,N/A,"Villa - Högmora, Huddinge kommun - Såld 06 december 2023",Stockholm,5 450 000 kr
N/A,4 000 000 kr,-100 000 kr (-3 %),Villa,Äganderätt,6 rum,129 m²,33 m²,N/A,687 m²,1965,39 561 kr/år,N/A,N/A,"Villa - Fågelsången, Norrtälje kommun - Såld 06 december 2023",Stockholm,3 900 000 kr
N/A,5 595 000 kr,-800 000 kr (-14 %),Villa,Äganderätt,2 rum,81 m²,N/A,N/A,N/A,2023,17 550 kr/år,N/A,N/A,"Villa - Norrtälje, Norrtälje kommun - Såld 06 december 2023",Stockholm,4 795 000 kr
N/A,7 990 000 kr,-340 000 kr (-4 %),Villa,Äganderätt,8 rum,212 m²,N/A,N/A,959 m²,1956,38 700 kr/år,N/A,N/A,"Villa - Vattmyra, Järfälla kommun - Såld 06 december 2023",Stockholm,7 650 000 kr
N/A,4 795 000 kr,-295 000 kr (-6 %),Villa,Äganderätt,5 rum,143 m²,34 m²,N/A,629 m²,1970,40 009 kr/år,N/A,N/A,"Villa - Sjukyrkoberget/Odenslunda, Upplands Väsby kommun - Såld 06 december 2023",Stockholm,4 500 000 kr
N/A,10 750 000 kr,-450 000 kr (-4 %),Villa,Äganderätt,8 rum,175 m²,79 m²,N/A,734 m²,1959,14 904 kr/år,N/A,N/A,"Villa - Bromma Kyrka, Stockholms kommun - Såld 06 december 2023",Stockholm,10 300 000 kr
