price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price
23 551 kr/m²,1 650 000 kr,-25 000 kr (-2 %),Lägenhet,Bostadsrätt,3 rum,69 m²,N/A,N/A,N/A,1983,12 660 kr/år,Ja,N/A,"Lägenhet - Tumba, Botkyrka kommun - Såld 28 december 2023",Stockholm,1 625 000 kr
48 182 kr/m²,950 000 kr,-155 000 kr (-16 %),Lägenhet,Bostadsrätt,1 rum,"16,5 m²",N/A,N/A,N/A,1968,N/A,N/A,"3 av 4, hiss finns","Lägenhet - Midsommarkransen /Telefonplan, Stockholms kommun - Såld 28 december 2023",Stockholm,795 000 kr
96 552 kr/m²,8 750 000 kr,-350 000 kr (-4 %),Lägenhet,Bostadsrätt,3 rum,87 m²,N/A,Nej,N/A,1856,10 500 kr/år,N/A,"1 av 3, hiss finns","Lägenhet - Södermalm - Katarina-Sofia, Stockholms kommun - Såld 28 december 2023",Stockholm,8 400 000 kr
58 750 kr/m²,4 750 000 kr,-50 000 kr (-1 %),Lägenhet,Bostadsrätt,3 rum,80 m²,N/A,Ja,N/A,N/A,13 164 kr/år,N/A,"6, hiss finns","Lägenhet - Västra Skogen, Solna kommun - Såld 28 december 2023",Stockholm,4 700 000 kr
73 807 kr/m²,6 595 000 kr,-100 000 kr (-2 %),Lägenhet,Bostadsrätt,4 rum,88 m²,N/A,Ja,N/A,2019,6 600 kr/år,N/A,"3 av 7, hiss finns","Lägenhet - Liljeholmskajen, Stockholms kommun - Såld 28 december 2023",Stockholm,6 495 000 kr
39 057 kr/m²,2 295 000 kr,-100 000 kr (-4 %),Lägenhet,Bostadsrätt,2 rum,"56,2 m²",N/A,Ja,N/A,1983,3 700 kr/år,N/A,N/A,"Lägenhet - Hägernäs, Täby kommun - Såld 27 december 2023",Stockholm,2 195 000 kr
23 684 kr/m²,1 495 000 kr,-145 000 kr (-10 %),Lägenhet,Bostadsrätt,2 rum,57 m²,N/A,Ja,N/A,1954-1956,5 664 kr/år,N/A,"1, hiss finns ej","Lägenhet - Kallhäll, Järfälla kommun - Såld 27 december 2023",Stockholm,1 350 000 kr
55 357 kr/m²,1 595 000 kr,-45 000 kr (-3 %),Lägenhet,Bostadsrätt,1 rum,28 m²,N/A,Ja,N/A,N/A,1 908 kr/år,N/A,"1, hiss finns","Lägenhet - Vega, Haninge kommun - Såld 27 december 2023",Stockholm,1 550 000 kr
38 760 kr/m²,2 595 000 kr,-95 000 kr (-4 %),Lägenhet,Bostadsrätt,"2,5 rum","64,5 m²",N/A,Nej,N/A,1961,3 395 kr/år,N/A,"2 av 9, hiss finns","Lägenhet - Näsbypark, Täby kommun - Såld 27 december 2023",Stockholm,2 500 000 kr
36 513 kr/m²,3 095 000 kr,-320 000 kr (-10 %),Lägenhet,Bostadsrätt,3 rum,76 m²,N/A,Ja,N/A,2018,9 776 kr/år,N/A,"3 av 4, hiss finns","Lägenhet - Barkarbystaden, Järfälla kommun - Såld 27 december 2023",Stockholm,2 775 000 kr
72 727 kr/m²,3 300 000 kr,-100 000 kr (-3 %),Lägenhet,Bostadsrätt,2 rum,44 m²,N/A,Ja,N/A,N/A,N/A,N/A,"5 av 12, hiss finns","Lägenhet - Alphyddan, Nacka kommun - Såld 27 december 2023",Stockholm,3 200 000 kr
91 489 kr/m²,8 995 000 kr,-395 000 kr (-4 %),Lägenhet,Bostadsrätt,4 rum,94 m²,N/A,Ja,N/A,2015,9 000 kr/år,N/A,"1, hiss finns","Lägenhet - Hammarby Sjöstad, Stockholms kommun - Såld 27 december 2023",Stockholm,8 600 000 kr
154 670 kr/m²,14 495 000 kr,-420 000 kr (-3 %),Lägenhet,Bostadsrätt,4 rum,91 m²,21 m²,Ja,N/A,1931,9 600 kr/år,N/A,"7 av 7, hiss finns","Lägenhet - Kungsholmen, Stockholms kommun - Såld 27 december 2023",Stockholm,14 075 000 kr
36 757 kr/m²,1 495 000 kr,-135 000 kr (-9 %),Lägenhet,Bostadsrätt,"1,5 rum",37 m²,N/A,Ja,N/A,1970,N/A,N/A,"2 av 3, hiss finns","Lägenhet - Västra Orminge, Nacka kommun - Såld 27 december 2023",Stockholm,1 360 000 kr
37 500 kr/m²,1 575 000 kr,-105 000 kr (-7 %),Lägenhet,Bostadsrätt,1 rum,"39,2 m²",N/A,Ja,N/A,1961,N/A,N/A,"1 av 8, hiss finns","Lägenhet - Kallhäll, Järfälla kommun - Såld 27 december 2023",Stockholm,1 470 000 kr
41 216 kr/m²,1 595 000 kr,-70 000 kr (-4 %),Lägenhet,Bostadsrätt,"1,5 rum",37 m²,N/A,N/A,N/A,1969,8 400 kr/år,N/A,2 av 3,"Lägenhet - Saltsjö-Boo, Nacka kommun - Såld 27 december 2023",Stockholm,1 525 000 kr
63 889 kr/m²,1 195 000 kr,-45 000 kr (-4 %),Lägenhet,Bostadsrätt,1 rum,18 m²,N/A,Nej,N/A,1953,4 500 kr/år,N/A,"2 av 3, hiss finns ej","Lägenhet - Vällingby Råcksta, Stockholms kommun - Såld 27 december 2023",Stockholm,1 150 000 kr
38 889 kr/m²,2 990 000 kr,-190 000 kr (-6 %),Lägenhet,Bostadsrätt,3 rum,72 m²,N/A,Ja,N/A,1963,3 600 kr/år,N/A,"3 av 3, hiss finns ej","Lägenhet - Barkarby, Järfälla kommun - Såld 27 december 2023",Stockholm,2 800 000 kr
30 185 kr/m²,2 495 000 kr,-50 000 kr (-2 %),Lägenhet,Bostadsrätt,3 rum,81 m²,N/A,Ja,N/A,1971,4 560 kr/år,N/A,"1 av 3, hiss finns","Lägenhet - Västra Orminge, Nacka kommun - Såld 26 december 2023",Stockholm,2 445 000 kr
42 063 kr/m²,2 685 000 kr,-35 000 kr (-1 %),Lägenhet,Bostadsrätt,2 rum,63 m²,N/A,Ja,N/A,2019,7 344 kr/år,N/A,"3 av 3, hiss finns","Lägenhet - Hässelby Villastad, Stockholms kommun - Såld 26 december 2023",Stockholm,2 650 000 kr
23 439 kr/m²,1 850 000 kr,-10 000 kr (-1 %),Lägenhet,Bostadsrätt,"3,5 rum","78,5 m²",N/A,Ja,N/A,1985,8 760 kr/år,N/A,"2 av 4, hiss finns","Lägenhet - Runby, Upplands Väsby kommun - Såld 26 december 2023",Stockholm,1 840 000 kr
82 979 kr/m²,4 395 000 kr,-495 000 kr (-11 %),Lägenhet,Bostadsrätt,2 rum,47 m²,N/A,Ja,N/A,N/A,6 492 kr/år,N/A,"7 av 7, hiss finns","Lägenhet - Gärdet - Östermalm, Stockholms kommun - Såld 26 december 2023",Stockholm,3 900 000 kr
17 222 kr/m²,1 795 000 kr,-245 000 kr (-14 %),Lägenhet,Bostadsrätt,3 rum,90 m²,N/A,Ja,N/A,1965,4 356 kr/år,N/A,"2 av 3, hiss finns ej","Lägenhet - Centrala handen, Haninge kommun - Såld 23 december 2023",Stockholm,1 550 000 kr
38 938 kr/m²,2 295 000 kr,-95 000 kr (-4 %),Lägenhet,Bostadsrätt,2 rum,"56,5 m²",N/A,N/A,N/A,1969,7 752 kr/år,N/A,N/A,"Lägenhet - Saltsjöbaden - Igelbodaplatån, Nacka kommun - Såld 23 december 2023",Stockholm,2 200 000 kr
30 130 kr/m²,1 250 000 kr,-90 000 kr (-7 %),Lägenhet,Bostadsrätt,1 rum,"38,5 m²",N/A,N/A,N/A,1964,4 320 kr/år,N/A,"1 av 3, hiss finns ej","Lägenhet - Centralt, Sigtuna kommun - Såld 23 december 2023",Stockholm,1 160 000 kr
33 708 kr/m²,3 095 000 kr,-95 000 kr (-3 %),Lägenhet,Bostadsrätt,3 rum,89 m²,N/A,N/A,N/A,1968,4 800 kr/år,N/A,"6 av 6, hiss finns","Lägenhet - Viggbygärdet, Täby kommun - Såld 23 december 2023",Stockholm,3 000 000 kr
54 875 kr/m²,2 395 000 kr,-200 000 kr (-8 %),Lägenhet,Bostadsrätt,1 rum,40 m²,N/A,Ja,N/A,2015,3 600 kr/år,N/A,"3 av 3, hiss finns","Lägenhet - Älvsjö - Örby, Stockholms kommun - Såld 23 december 2023",Stockholm,2 195 000 kr
53 049 kr/m²,4 495 000 kr,-145 000 kr (-3 %),Lägenhet,Bostadsrätt,3 rum,82 m²,N/A,Ja,N/A,1959,N/A,N/A,N/A,"Lägenhet - Näsbypark, Täby kommun - Såld 23 december 2023",Stockholm,4 350 000 kr
70 122 kr/m²,5 995 000 kr,-245 000 kr (-4 %),Lägenhet,Bostadsrätt,3 rum,82 m²,N/A,Ja,N/A,N/A,N/A,N/A,"2 av 8, hiss finns","Lägenhet - Liljeholmen, Stockholms kommun - Såld 23 december 2023",Stockholm,5 750 000 kr
90 897 kr/m²,3 595 000 kr,-50 000 kr (-1 %),Lägenhet,Bostadsrätt,1 rum,39 m²,N/A,Nej,N/A,1931,5 880 kr/år,N/A,"1 av 4, hiss finns","Lägenhet - Södermalm, Stockholms kommun - Såld 22 december 2023",Stockholm,3 545 000 kr
97 170 kr/m²,5 450 000 kr,-300 000 kr (-6 %),Lägenhet,Äganderätt,2 rum,53 m²,N/A,Ja,N/A,2021,6 950 kr/år,N/A,"4 av 6, hiss finns","Lägenhet - Liljeholmskajen, Stockholms kommun - Såld 22 december 2023",Stockholm,5 150 000 kr
32 786 kr/m²,2 395 000 kr,-100 000 kr (-4 %),Lägenhet,Bostadsrätt,3 rum,70 m²,N/A,Ja,N/A,N/A,8 316 kr/år,N/A,"3 av 3, hiss finns ej","Lägenhet - Sollentuna Edsberg, Sollentuna kommun - Såld 22 december 2023",Stockholm,2 295 000 kr
23 421 kr/m²,1 895 000 kr,-115 000 kr (-6 %),Lägenhet,Bostadsrätt,3 rum,76 m²,N/A,Ja,N/A,1970,588 kr/år,N/A,"2 av 3, hiss finns ej","Lägenhet - Åkersberga Centralt, Österåkers kommun - Såld 22 december 2023",Stockholm,1 780 000 kr
